user-000000,2,0
user-000001,13,0
user-000001,13,1
user-000002,2,0
user-000002,18,1
user-000003,2,0
user-000003,18,1
user-000003,2,2
user-000003,5,3
user-000004,18,0
user-000020,13,0
user-000020,13,1
user-000020,13,2
user-000021,2,0
user-000021,13,1
user-000022,2,0
user-000022,5,1
user-000022,18,2
user-000022,15,3
user-000022,11,4
user-000037,2,1
user-000037,13,2
user-000038,13,0
user-000038,5,1
user-000038,2,2
user-000038,18,3
user-000038,2,4
user-000039,17,0
user-000039,2,1
user-000039,5,2
user-000056,13,2
user-000056,5,3
user-000057,13,0
user-000058,13,0
user-000058,5,1
user-000058,2,2
user-000058,2,3
user-000059,5,0
user-000060,18,0
user-000060,17,1
user-000077,13,5
user-000077,2,6
user-000077,18,7
user-000077,8,8
user-000077,6,9
user-000077,2,10
user-000078,2,0
user-000079,18,0
user-000079,15,1
user-000080,11,0
user-000098,13,1
user-000099,13,0
user-000099,17,1
user-000100,8,0
user-000100,2,1
user-000100,18,2
user-000101,13,0
user-000101,18,1
user-000101,11,2
user-000102,2,0
user-000114,2,0
user-000114,13,1
user-000115,5,0
user-000115,18,1
user-000115,2,2
user-000115,5,3
user-000115,15,4
user-000115,2,5
user-000115,8,6
user-000115,2,7
user-000133,18,0
user-000134,13,0
user-000134,13,1
user-000135,13,0
user-000135,5,1
user-000136,2,0
user-000136,18,1
user-000136,2,2
user-000137,2,0
user-000137,5,1
user-000147,13,0
user-000147,5,1
user-000148,2,0
user-000148,18,1
user-000148,13,2
user-000149,2,0
user-000149,5,1
user-000150,18,0
user-000150,15,1
user-000150,2,2
user-000162,13,1
user-000162,18,2
user-000162,2,3
user-000162,5,4
user-000162,6,5
user-000162,2,6
user-000162,9,7
user-000162,2,8
user-000162,6,9
user-000162,15,10
user-000177,13,3
user-000178,13,0
user-000178,5,1
user-000179,2,0
user-000179,17,1
user-000180,2,0
user-000180,18,1
user-000181,2,0
user-000181,5,1
user-000182,2,0
user-000201,13,0
user-000202,13,0
user-000203,2,0
user-000203,18,1
user-000203,2,2
user-000204,2,0
user-000204,5,1
user-000205,18,0
user-000205,2,1
user-000206,18,0
user-000222,13,0
user-000223,5,0
user-000223,2,1
user-000224,13,0
user-000224,18,1
user-000224,2,2
user-000224,5,3
user-000224,18,4
user-000224,18,5
user-000225,13,0
user-000239,13,1
user-000240,13,0
user-000240,13,1
user-000241,5,0
user-000241,15,1
user-000241,18,2
user-000242,2,0
user-000242,5,1
user-000243,8,0
user-000243,13,1
user-000263,2,2
user-000263,13,3
user-000263,13,4
user-000264,13,0
user-000265,5,0
user-000265,2,1
user-000266,18,0
user-000266,18,1
user-000267,2,0
user-000267,5,1
user-000281,5,3
user-000281,13,4
user-000281,13,5
user-000281,2,6
